"eenheid","label"
"http://data.lblod.info/id/bestuurseenheden/8e56a0a0b0d98e418bc12db9df9750ebeb8735ce96bf7264b69c0ece34cacbbf","Diest"
"http://data.lblod.info/id/bestuurseenheden/5dac914e84e5b9293b3457a57007ede319ba8e7da44cd7366593b7212c21bef0","Beerse"
"http://data.lblod.info/id/bestuurseenheden/de799622f0e0a928b0409c401d18d2ed7dd5a5dc165a8bb8e7934f94eea77c44","Herselt"
"http://data.lblod.info/id/bestuurseenheden/323a24f2fe81ee0b6586ec78be36760e478092e07386b2785992ea8b61941833","Lokeren"
"http://data.lblod.info/id/bestuurseenheden/bcbf100f2c73def5ab297e49a91d1086c03412c979d5b13154645b0794b29932","Brakel"
"http://data.lblod.info/id/bestuurseenheden/f5aef7c691e862d39758f589e2202f64ee91d924938d8ba42de5d1a4dc26b38e","Berlaar"
"http://data.lblod.info/id/bestuurseenheden/60a7cee610b31a63473ef8f52665f60108cb2bb7ce0d1cba8bac7db5f00ab318","Glabbeek"
"http://data.lblod.info/id/bestuurseenheden/b5a995382b4d908862d8203045a669c3d058553c16a4e2370030a012cf5f74bf","Oostrozebeke"
"http://data.lblod.info/id/bestuurseenheden/4018f56b73fad17de5fcbe818dcd84e78daa28e7c04669c110107ef844a6e826","Oudenburg"
"http://data.lblod.info/id/bestuurseenheden/9727dd2f315c2aa8a87ec657fa3dc24c18a6ee6c813a57db008c9ff479dbf144","Pittem"
"http://data.lblod.info/id/bestuurseenheden/6861e7ab92ff73b8d448edb2e16e9e400201c5ceeb66afb82b185adef4bcbaa0","Stabroek"
"http://data.lblod.info/id/bestuurseenheden/7b4c40e89ebccb7e3e8b969d6d093488e96ba99753bea150d7301dbaea1167a0","Oosterzele"
"http://data.lblod.info/id/bestuurseenheden/3f57a17fbcdfc13def910c54948bec11d71d3f75946b0336fffc0587bf18d783","Meulebeke"
"http://data.lblod.info/id/bestuurseenheden/e6b3f07f54fe7a613d5c6993de6d4d25afe28d1dd6e5a42b9ecd7b5b916c5819","Koksijde"
"http://data.lblod.info/id/bestuurseenheden/787ab1f73a70f179f6bf7f67a0cd74c6b790666c9b0914e7c2aea23a1a832823","Veurne"
"http://data.lblod.info/id/bestuurseenheden/b1921c8d18412f385e9e04779ce742b844ebb6f2c9e62f2f7f0737f0a0be9a05","Bertem"
"http://data.lblod.info/id/bestuurseenheden/96bad0ebf5866e1f4d792a276343d492ebf21ef4cb84634dfb27daf0fdd28ece","Laakdal"
"http://data.lblod.info/id/bestuurseenheden/bf9a29f384bec402f9aaf33b49942fb743e9b8580e3e17d77711d823cd8317a1","Geraardsbergen"
"http://data.lblod.info/id/bestuurseenheden/c1f7f31c96d4e985ae41256349250aa18e7e2b2f7bcde6201b065e6a0e028e26","Lanaken"
"http://data.lblod.info/id/bestuurseenheden/9ef9220a7368a7bb42d66f537d5bb386c44ae8d6b7c9348d49a0002ca019fec8","Machelen"
"http://data.lblod.info/id/bestuurseenheden/33abba8b7d29dee8ea194d2751106727c01576d862e63b4eed34cad307ae7098","Assenede"
"http://data.lblod.info/id/bestuurseenheden/880c978bdf2b0e3dbbd4644787b0e78f9325a865e120e66b8aba2f8dc2967c1f","Baarle-Hertog"
